"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","10576722431.8","10349348000","1.48","3476669","1983","0.06","/mutual-fund/holding-history/9509/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","9674169345.75","9702019000","1.39","23207795","1311737","5.99","/mutual-fund/holding-history/9509/647/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","9129065163.6","9194005000","1.32","5073394","","","/mutual-fund/holding-history/9509/60957/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","9200717359.4","8747624000","1.25","36539783","","","/mutual-fund/holding-history/9509/974/"
"DLF Ltd","DLF","532868","Real Estate","9211776059.15","8666488000","1.24","10862303","","","/mutual-fund/holding-history/9509/337/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","8483744568","8465383000","1.21","3747237","676272","22.02","/mutual-fund/holding-history/9509/117/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","8171428392.8","8261289000","1.18","10634342","","","/mutual-fund/holding-history/9509/65394/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","7682692345.2","7689516000","1.1","2352901","438","0.02","/mutual-fund/holding-history/9509/297/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","7630494312","7377682000","1.06","1542480","","","/mutual-fund/holding-history/9509/94155/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","6228865882.5","6365819000","0.91","19993150","","","/mutual-fund/holding-history/9509/215/"
"Coal India Ltd","COALINDIA","533278","Energy","6015653407.75","6124328000","0.88","15414871","-4850745","-23.94","/mutual-fund/holding-history/9509/275/"
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","500459","Consumer Defensive","5911491880","6020972000","0.86","443240","4553","1.04","/mutual-fund/holding-history/9509/1032/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","5622742242","6013472000","0.86","8357848","-1479500","-15.04","/mutual-fund/holding-history/9509/1362/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","5864258107.2","5916326000","0.85","20418726","","","/mutual-fund/holding-history/9509/1057/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","5600861800","5329285000","0.76","3256315","","","/mutual-fund/holding-history/9509/531/"
