"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"V-Guard Industries Ltd","VGUARD","532953","Industrials","586500371.75","579021000","0.38","1526351","155537","11.35","/mutual-fund/holding-history/6830/1476/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","545453105.1","554681000","0.37","559267","","","/mutual-fund/holding-history/6830/238/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","533670414.5","548861000","0.36","1669285","","","/mutual-fund/holding-history/6830/502/"
"Birlasoft Ltd","BSOFT","532400","Technology","592374414","541657000","0.36","1352453","","","/mutual-fund/holding-history/6830/763/"
"FDC Ltd","FDC","531599","Healthcare","568901281","530580000","0.35","1208885","445344","58.33","/mutual-fund/holding-history/6830/410/"
"NCC Ltd","NCC","500294","Industrials","514994051.63","524986000","0.35","2270797","","","/mutual-fund/holding-history/6830/918/"
"Belrise Industries Ltd","BELRISE","544405","Consumer Cyclical","575384972.4","520790000","0.35","5553909","5553909","New","/mutual-fund/holding-history/6830/3104419/"
"CSB Bank Ltd Ordinary Shares","CSBBANK","542867","Financial Services","547676028.8","501870000","0.33","1375552","","","/mutual-fund/holding-history/6830/174482/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","480071034.4","493421000","0.33","1335014","","","/mutual-fund/holding-history/6830/363/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","504723147.24","474021000","0.31","7451988","","","/mutual-fund/holding-history/6830/325199/"
"JM Financial Ltd","JMFINANCIL","523405","Financial Services","555446530","457760000","0.3","3583526","-3199566","-47.17","/mutual-fund/holding-history/6830/689/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","431004263.15","436833000","0.29","515833","","","/mutual-fund/holding-history/6830/685/"
"Indian Bank","INDIANB","532814","Financial Services","432465460","429955000","0.28","697300","-492926","-41.41","/mutual-fund/holding-history/6830/609/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","313150312.2","355315000","0.24","653213","-533200","-44.94","/mutual-fund/holding-history/6830/547977/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","324657060","339571000","0.22","211848","","","/mutual-fund/holding-history/6830/612873/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","291600000","307950000","0.2","300000","","","/mutual-fund/holding-history/6830/1313/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","332994847.13","299946000","0.2","2299847","","","/mutual-fund/holding-history/6830/1537/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","294363587.7","287263000","0.19","525978","-594368","-53.05","/mutual-fund/holding-history/6830/489/"
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","279213070.3","272500000","0.18","4275851","","","/mutual-fund/holding-history/6830/852172/"
"Barbeque-Nation Hospitality Ltd","BARBEQUE","543283","Consumer Cyclical","259488391.05","231850000","0.15","769881","","","/mutual-fund/holding-history/6830/454003/"
"Yatra Online Ltd","YATRA","543992","Consumer Cyclical","175325186.64","201434000","0.13","2016159","7502","0.37","/mutual-fund/holding-history/6830/1690560/"
"Mastek Ltd","MASTEK","523704","Technology","205090450.5","189006000","0.13","81195","","","/mutual-fund/holding-history/6830/843/"
"Butterfly Gandhimathi Appliances Ltd","BUTTERFLY","517421","Consumer Cyclical","85196447.7","87919000","0.06","114373","-10120","-8.13","/mutual-fund/holding-history/6830/227/"
