"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","1475305255.75","1491476000","0.34","1625233","","","/mutual-fund/holding-history/8036/127257/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","1796012734","1477872000","0.34","2353112","100000","4.44","/mutual-fund/holding-history/8036/4957/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","1459013934.4","1411578000","0.32","1137544","","","/mutual-fund/holding-history/8036/184/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1474750000","1374375000","0.32","250000","","","/mutual-fund/holding-history/8036/683/"
"Emcure Pharmaceuticals Ltd","EMCURE","544210","Healthcare","1330000000","1329900000","0.31","1000000","","","/mutual-fund/holding-history/8036/2393790/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","1301337649","1310356000","0.3","2026690","","","/mutual-fund/holding-history/8036/1771/"
"AAVAS Financiers Ltd","AAVAS","541988","Financial Services","1340010000","1290380000","0.3","700000","","","/mutual-fund/holding-history/8036/106807/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","1258843784","1272942000","0.29","518320","","","/mutual-fund/holding-history/8036/276/"
"Mahindra Logistics Ltd","MAHLOG","540768","Industrials","1319265819","1254452000","0.29","3928140","","","/mutual-fund/holding-history/8036/65007/"
"Niva Bupa Health Insurance Co Ltd","NIVABUPA","544286","Financial Services","1107152862","1247152000","0.29","13513400","","","/mutual-fund/holding-history/8036/2768807/"
"Awfis Space Solutions Ltd","AWFIS","544181","Industrials","1255520577.5","1230888000","0.28","1909537","","","/mutual-fund/holding-history/8036/2278178/"
"SRF Ltd","SRF","503806","Industrials","1237425212.8","1151833000","0.26","402598","","","/mutual-fund/holding-history/8036/1283/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1147340312.1","1122209000","0.26","1073987","1073987","New","/mutual-fund/holding-history/8036/4826/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","1055289816","1119490000","0.26","199752","","","/mutual-fund/holding-history/8036/445359/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","1088659694.45","1082368000","0.25","1429907","440646","44.54","/mutual-fund/holding-history/8036/2840733/"
"Dr. Lal PathLabs Ltd","LALPATHLAB","539524","Healthcare","1036670878.1","1046700000","0.24","375619","","","/mutual-fund/holding-history/8036/1877/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","1045998225.3","1004220000","0.23","2373762","","","/mutual-fund/holding-history/8036/2734936/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","946846966.4","981729000","0.23","1008142","","","/mutual-fund/holding-history/8036/416/"
"Electronics Mart India Ltd","EMIL","543626","Consumer Cyclical","1187182731","971229000","0.22","8076073","1200000","17.45","/mutual-fund/holding-history/8036/1063762/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","921500000","951900000","0.22","2000000","","","/mutual-fund/holding-history/8036/4813/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","927863204.5","943557000","0.22","152371","","","/mutual-fund/holding-history/8036/1182/"
"Indigo Paints Ltd Ordinary Shares","INDIGOPNTS","543258","Basic Materials","991798946.2","920865000","0.21","853087","","","/mutual-fund/holding-history/8036/402502/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","955695942.6","917572000","0.21","1578619","","","/mutual-fund/holding-history/8036/1418/"
"Siemens Engy Ind","","","","","903833000","0.21","364721","","",""
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","963456750","862040000","0.2","697500","","","/mutual-fund/holding-history/8036/1521/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","775339833.5","802782000","0.18","152371","","","/mutual-fund/holding-history/8036/2638456/"
"Aditya Birla Lifestyle Brands Limited**","","","","","762711000","0.18","4461603","4461603","New",""
"TCI Express Ltd","TCIEXP","540212","Industrials","736772857.6","749472000","0.17","984464","75000","8.25","/mutual-fund/holding-history/8036/52914/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","714910020","714955000","0.16","896720","","","/mutual-fund/holding-history/8036/816269/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","748434260.8","711507000","0.16","650134","","","/mutual-fund/holding-history/8036/219/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","767059040","704426000","0.16","618596","","","/mutual-fund/holding-history/8036/712/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","698018675.9","700490000","0.16","514801","","","/mutual-fund/holding-history/8036/658068/"
"VST Tillers Tractors Ltd","VSTTILLERS","531266","Industrials","650251468.8","677751000","0.16","176392","","","/mutual-fund/holding-history/8036/1503/"
"Cyient DLM Ltd","CYIENTDLM","543933","Technology","621060000","638748000","0.15","1320000","","","/mutual-fund/holding-history/8036/1513580/"
"Ola Electric Mobility Ltd","OLAELEC","544225","Consumer Cyclical","495944664.24","582201000","0.13","11424664","","","/mutual-fund/holding-history/8036/2484734/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","407441125","396312000","0.09","465647","465647","New","/mutual-fund/holding-history/8036/728986/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","332032495.26","383029000","0.09","4461603","","","/mutual-fund/holding-history/8036/1029/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","253633759.5","248322000","0.06","1147145","","","/mutual-fund/holding-history/8036/2956218/"
"Bajaj Consumer Care Ltd","BAJAJCON","533229","Consumer Defensive","75829855","64956000","0.01","371260","-2008255","-84.4","/mutual-fund/holding-history/8036/145/"
