"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","449350000","452155000","0.76","1100000","100000","10","/mutual-fund/holding-history/266379/556/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","472981212.5","444815000","0.74","83455","23455","39.09","/mutual-fund/holding-history/266379/1784/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","469560000","443450000","0.74","700000","100000","16.67","/mutual-fund/holding-history/266379/549/"
"Bharat Electronics Ltd","BEL","500049","Industrials","472535000","442290000","0.74","1150000","-150000","-11.54","/mutual-fund/holding-history/266379/175/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","455506000","425866000","0.71","190000","","","/mutual-fund/holding-history/266379/67/"
"ITC Ltd","ITC","500875","Consumer Defensive","416800000","418050000","0.7","1000000","","","/mutual-fund/holding-history/266379/647/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","438295000","415578000","0.69","650000","","","/mutual-fund/holding-history/266379/1288/"
"Indian Bank","INDIANB","532814","Financial Services","403357500","400790000","0.67","650000","","","/mutual-fund/holding-history/266379/609/"
"Steel Authority Of India Ltd","SAIL","500113","Basic Materials","387579150","387669000","0.65","3001000","3001000","New","/mutual-fund/holding-history/266379/1165/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","365350000","380025000","0.64","250000","","","/mutual-fund/holding-history/266379/851/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","394433164","377979000","0.63","33718","-1282","-3.66","/mutual-fund/holding-history/266379/1443/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","360540000","373058000","0.62","75000","","","/mutual-fund/holding-history/266379/80502/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","413099836.8","358741000","0.6","194208","194208","New","/mutual-fund/holding-history/266379/2710663/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","323000000","347820000","0.58","100000","-50000","-33.33","/mutual-fund/holding-history/266379/305195/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","341110000","346340000","0.58","100000","","","/mutual-fund/holding-history/266379/1372/"
"Thomas Cook India Ltd","THOMASCOOK","500413","Consumer Cyclical","327345124","344929000","0.58","1998200","","","/mutual-fund/holding-history/266379/1389/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","341870000","342958000","0.57","170000","","","/mutual-fund/holding-history/266379/147/"
"DLF Ltd","DLF","532868","Real Estate","339160000","319140000","0.53","400000","100000","33.33","/mutual-fund/holding-history/266379/337/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","301407466.65","299782000","0.5","1957827","414365","26.85","/mutual-fund/holding-history/266379/878/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","305986554.8","299256000","0.5","286397","286397","New","/mutual-fund/holding-history/266379/4826/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","344655000","299079000","0.5","135000","15000","12.5","/mutual-fund/holding-history/266379/897/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","328608000","298298000","0.5","1400000","300000","27.27","/mutual-fund/holding-history/266379/4685/"
