"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","3992266264.5","4201395000","1.14","1384041","","","/mutual-fund/holding-history/6337/300864/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","4066200000","4134240000","1.12","27000000","","","/mutual-fund/holding-history/6337/878/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","4130750000","4052440000","1.1","2050000","","","/mutual-fund/holding-history/6337/1437/"
"REC Ltd","RECLTD","532955","Financial Services","3951000000","4023000000","1.09","10000000","","","/mutual-fund/holding-history/6337/1119/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","4001550000","3950450000","1.07","700000","","","/mutual-fund/holding-history/6337/1412/"
"NLC India Ltd","NLCINDIA","513683","Utilities","3673945096.25","3890760000","1.06","16096145","","","/mutual-fund/holding-history/6337/935/"
"Bharat Electronics Ltd","BEL","500049","Industrials","4017000000","3846000000","1.04","10000000","","","/mutual-fund/holding-history/6337/175/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","3724380000","3629520000","0.99","1800000","","","/mutual-fund/holding-history/6337/120412/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","3365201385","3559954000","0.97","693070","","","/mutual-fund/holding-history/6337/1311/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","3497150227.5","3503272000","0.95","5101605","","","/mutual-fund/holding-history/6337/293/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","3634066080","3483025000","0.95","7570971","","","/mutual-fund/holding-history/6337/515/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","3308292990","3475658000","0.94","829770","","","/mutual-fund/holding-history/6337/406/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","3584805249.6","3473969000","0.94","726316","","","/mutual-fund/holding-history/6337/94155/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3282216000","3414768000","0.93","16800000","","","/mutual-fund/holding-history/6337/705188/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","3139070890","3285240000","0.89","4188220","","","/mutual-fund/holding-history/6337/279/"
"Union Bank of India","UNIONBANK","532477","Financial Services","3178340000","3229380000","0.88","22000000","-1000000","-4.35","/mutual-fund/holding-history/6337/1447/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3184800000","3198000000","0.87","600000","","","/mutual-fund/holding-history/6337/1784/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","3180320000","3161340000","0.86","1300000","","","/mutual-fund/holding-history/6337/4797/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","2957706000","2967696000","0.81","222000","","","/mutual-fund/holding-history/6337/1508/"
