"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","785400000","796092000","0.08","3300000","","","/mutual-fund/holding-history/6094/54143/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","845318629.6","788535000","0.08","618556","","","/mutual-fund/holding-history/6094/407835/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","750758400","707746000","0.07","1117200","-233800","-17.31","/mutual-fund/holding-history/6094/549/"
"UPL Ltd","UPL","512070","Basic Materials","719108091","693911000","0.07","1105130","","","/mutual-fund/holding-history/6094/1455/"
"Aegis Vopak Termin","AEGISVOPAK","544407","","734069085.75","689336000","0.07","2933343","2933343","New","/mutual-fund/holding-history/6094/3113228/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","711391312.8","665884000","0.07","484632","","","/mutual-fund/holding-history/6094/1410/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","685673912","644117000","0.06","451220","","","/mutual-fund/holding-history/6094/913/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","648722739.6","631778000","0.06","345102","","","/mutual-fund/holding-history/6094/2170198/"
"Bandhan Bank Ltd","BANDHANBNK","541153","Financial Services","613509383.38","575818000","0.06","3383386","","","/mutual-fund/holding-history/6094/79883/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","535479660","535110000","0.05","1846800","-1625400","-46.81","/mutual-fund/holding-history/6094/1057/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","485820000","491180000","0.05","200000","","","/mutual-fund/holding-history/6094/276/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","428297096","450381000","0.04","88336","","","/mutual-fund/holding-history/6094/1878/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","469859334.9","447116000","0.04","969882","","","/mutual-fund/holding-history/6094/989/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","390275000","353150000","0.04","500000","","","/mutual-fund/holding-history/6094/424/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","360379600","351501000","0.04","98875","-364000","-78.64","/mutual-fund/holding-history/6094/1403/"
"Adani Enterprises Ltd","ADANIENT","512599","Energy","334854780","334139000","0.03","132600","-45300","-25.46","/mutual-fund/holding-history/6094/26/"
"Vodafone Idea Ltd","IDEA","532822","Communication Services","318376408.35","308135000","0.03","44528169","","","/mutual-fund/holding-history/6094/589/"
"Indian Railway Finance Corp Ltd Ordinary Shares","IRFC","543257","Financial Services","294340565.34","292175000","0.03","2102733","","","/mutual-fund/holding-history/6094/402503/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","267238800","263289000","0.03","342000","","","/mutual-fund/holding-history/6094/606/"
"Piramal Enterprises Ltd","PEL","500302","Financial Services","260841750","257657000","0.03","232500","","","/mutual-fund/holding-history/6094/1019/"
"Ramco Systems Ltd","RAMCOSYS","532370","Technology","238646060.4","245057000","0.02","569833","","","/mutual-fund/holding-history/6094/1105/"
"Bajaj Housing Finance Ltd","BAJAJHFL","544252","Financial Services","237232584.6","237915000","0.02","1950124","","","/mutual-fund/holding-history/6094/2607004/"
"BEML Land Assets Ltd","BLAL","543898","Financial Services","242259027.93","225331000","0.02","1113681","","","/mutual-fund/holding-history/6094/1437398/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","230721767.1","213098000","0.02","1709430","","","/mutual-fund/holding-history/6094/2839786/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","199220000","186160000","0.02","200000","","","/mutual-fund/holding-history/6094/452/"
"RITES Ltd Ordinary Shares","RITES","541556","Industrials","167580000","166464000","0.02","600000","","","/mutual-fund/holding-history/6094/92280/"
"Campus Activewear Ltd","CAMPUS","543523","Consumer Cyclical","130570990.5","133866000","0.01","458949","","","/mutual-fund/holding-history/6094/877863/"
"Emcure Pharmaceuticals Ltd","EMCURE","544210","Healthcare","107888270","107880000","0.01","81119","","","/mutual-fund/holding-history/6094/2393790/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","103387050","106422000","0.01","34250","","","/mutual-fund/holding-history/6094/1037/"
"L&T Finance Ltd","LTF","533519","Financial Services","122456644.61","104768000","0.01","611641","","","/mutual-fund/holding-history/6094/777/"
"Union Bank of India","UNIONBANK","532477","Financial Services","102188160.15","103414000","0.01","704503","","","/mutual-fund/holding-history/6094/1447/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","71594523","68399000","0.01","166887","","","/mutual-fund/holding-history/6094/2889731/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","64715100","64757000","0.01","138000","","","/mutual-fund/holding-history/6094/14/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","64012650","63728000","0.01","19500","","","/mutual-fund/holding-history/6094/297/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","60910920","59391000","0.01","151200","","","/mutual-fund/holding-history/6094/1364/"
